request_id,current_balance,minimum_balance,requested_amount,expected_safe_amount,expected_implied_baseline_minimum,current_baseline_minimum,current_safe_amount,difference
request_02,60383889.2,29158400,46018000,17229139.2,46387539.2,46964463.01,17806063.01,576923.81
request_03,5810300,2668700,5491000,873000,3541700,3763547.18,1094847.18,221847.18
request_04,52206950,30686600,12693000,8401800,39088400,43776836.11,12693000,4291200
request_05,46475.1,13100,15488,737,13837,20399.49,7299.49,6562.49
request_06,1942.4,800,620.4,603.3,1403.3,1480.70,620.40,17.10
request_07,218945.56,93000,197400,87170.56,180170.56,192307.07,99307.07,12136.51
request_08,1536.57,800,996.6,284.57,1084.57,1166.65,366.65,82.08
request_10,750155,225400,266700,12700,238100,269620.79,44220.79,31520.79
request_11,63531795,34140600,13110000,12510645,46651245,50360977.90,13110000,599355
request_13,2789.52,1300,941.6,433.4,1733.4,2648.13,941.6,508.2
request_14,3931.74,2200,5414.2,597.74,2797.74,2959.82,759.82,162.08
request_15,1770.05,1200,3685,83.05,1283.05,713.25,0,-83.05
request_17,550379.58,166100,274600,243849.58,409949.58,421888.02,255788.02,11938.44
request_18,2486,1400,3246.1,462,1862,2094.61,694.61,232.61
request_19,199545,92800,39660,28820,121620,120625.91,27825.91,-994.09
request_20,102609.05,64500,303700,5400,69900,80282.57,15782.57,10382.57
request_21,3911.35,1800,1574.4,1543.35,3343.35,3463.99,1574.4,31.05
request_22,1132.46,500,731.5,475.46,975.46,1034.12,534.12,58.66
request_23,51957.9,27000,38016,9152,36152,38917.43,11917.43,2765.43
request_24,85045,51000,109600,13420,64420,68688.49,17688.49,4268.49
request_25,32063050,23379100,60496000,1425000,24804100,26742400,3363300,1938300
