request_id,minimum_balance_to_keep,requested_amount,expected_safe_amount,expected_implied_baseline_minimum,agent_baseline_minimum,baseline_difference,agent_safe_amount,safe_amount_difference
request_01,18000,25256,25256,43256,43938.97,682.97,25256.00,0.00
request_02,29158400,46018000,17229139.2,46387539.2,46964463.01,576923.81,17806063.01,576923.81
request_03,2668700,5491000,873000,3541700,3763547.18,221847.18,1094847.18,221847.18
request_04,30686600,12693000,8401800,39088400,43776836.11,4688436.11,12693000.00,4291200.00
request_05,13100,15488,737,13837,20399.49,6562.49,7299.49,6562.49
request_06,800,620.4,603.3,1403.3,1480.70,77.40,620.40,17.10
request_07,93000,197400,87170.56,180170.56,192307.07,12136.51,99307.07,12136.51
request_08,800,996.6,284.57,1084.57,1166.65,82.08,366.65,82.08
request_09,600,166.61,166.61,766.61,1474.50,707.89,166.61,0.00
request_10,225400,266700,12700,238100,269620.79,31520.79,44220.79,31520.79
request_11,34140600,13110000,12510645,46651245,50360977.90,3709732.90,13110000.00,599355.00
request_12,43200,65164,65164,108364,123677.54,15313.54,65164.00,0.00
request_13,1300,941.6,433.4,1733.4,2648.13,914.73,941.60,508.20
request_14,2200,5414.2,597.74,2797.74,2959.82,162.08,759.82,162.08
request_15,1200,3685,83.05,1283.05,713.25,-569.80,0,-83.05
request_16,122400,122500,122500,244900,362370,117470,122500.00,0.00
request_17,166100,274600,243849.58,409949.58,421888.02,11938.44,255788.02,11938.44
request_18,1400,3246.1,462,1862,2094.61,232.61,694.61,232.61
request_19,92800,39660,28820,121620,120625.91,-994.09,27825.91,-994.09
request_20,64500,303700,5400,69900,80282.57,10382.57,15782.57,10382.57
request_21,1800,1574.4,1543.35,3343.35,3463.99,120.64,1574.40,31.05
request_22,500,731.5,475.46,975.46,1034.12,58.66,534.12,58.66
request_23,27000,38016,9152,36152,38917.43,2765.43,11917.43,2765.43
request_24,51000,109600,13420,64420,68688.49,4268.49,17688.49,4268.49
request_25,23379100,60496000,1425000,24804100,26742400.00,1938300.00,3363300.00,1938300.00
