request_id,capped_case,current_balance,minimum_balance,requested_amount,expected_safe,predicted_safe,expected_implied_floor,predicted_baseline_minimum,predicted_minimum_after_expected,predicted_minimum_after_requested,unexplained_reserve,min_date,min_source_ids,cumulative_income_to_min,cumulative_expenses_to_min,confirmed_income,message_income,recurring_income,confirmed_future_debits,recurring_mandatory_debits,essential_variable_debits,optional_debits,other_reserves
request_01,true,58481.1,18000,25256,25256,25256,43256,43938.97,18682.97,18682.97,-682.97,2024-05-28,recurrence:event_56,23320,37862.13,23320,0,0,567.6,36373.83,0,920.7,0
request_02,false,60383889.2,29158400,46018000,17229139.2,17806063.01,46387539.2,46964463.01,29735323.81,946463.01,-576923.81,2025-08-14,recurrence:event_160,0,13419426.19,0,0,0,1651100,11398776.19,0,369550,0
request_03,false,5810300,2668700,5491000,873000,1094847.18,3541700,3763547.18,2890547.18,-1727452.82,-221847.18,2019-09-14,recurrence:event_214|recurrence:event_216,0,2046752.82,0,0,0,95000,1632657.53,0,319095.29,0
request_04,false,52206950,30686600,12693000,8401800,12693000,39088400,43776836.11,35375036.11,31083836.11,-4688436.11,2024-06-13,recurrence:event_290,0,8430113.89,0,0,0,1704300,5161454.50,0,1564359.39,0
request_05,false,46475.1,13100,15488,737,7299.49,13837,20399.49,19662.49,4911.49,-6562.49,2026-02-02,recurrence:event_398,0,26075.61,0,0,0,0,24649.44,0,1426.17,0
request_06,false,1942.4,800,620.4,603.3,620.4,1403.3,1480.70,877.40,860.30,-77.40,2026-01-13,recurrence:event_475|recurrence:event_477,0,461.70,0,0,0,0,442.70,0,19,0
request_07,false,218945.56,93000,197400,87170.56,99307.07,180170.56,192307.07,105136.51,-5092.93,-12136.51,2024-09-20,recurrence:event_604,0,26638.49,0,0,0,0,25633.49,0,1005,0
request_08,false,1536.57,800,996.6,284.57,366.65,1084.57,1166.65,882.08,170.05,-82.08,2025-02-12,recurrence:event_649,0,369.92,0,0,0,0,331.92,0,38,0
request_09,true,2231.1,600,166.61,166.61,166.61,766.61,1474.50,1307.89,1307.89,-707.89,2026-09-12,recurrence:event_749|recurrence:event_751,0,756.60,0,0,0,0,756.60,0,0,0
request_10,false,750155,225400,266700,12700,44220.79,238100,269620.79,256920.79,2920.79,-31520.79,2025-03-03,recurrence:event_840,0,480534.21,0,0,0,0,405641.58,0,74892.63,0
request_11,false,63531795,34140600,13110000,12510645,13110000,46651245,50360977.90,37850332.90,37250977.90,-3709732.90,2025-05-14,recurrence:event_949,0,13170817.10,0,0,0,0,13002667.10,0,168150,0
request_12,true,193089.89,43200,65164,65164,65164,108364,123677.54,58513.54,58513.54,-15313.54,2026-07-01,recurrence:event_1018,0,69412.35,0,0,0,0,61389.69,0,8022.66,0
request_13,false,2789.52,1300,941.6,433.4,941.6,1733.4,2648.13,2214.73,1706.53,-914.73,2024-03-14,recurrence:event_1093,0,141.39,0,0,0,0,30.39,0,111,0
request_14,false,3931.74,2200,5414.2,597.74,759.82,2797.74,2959.82,2362.08,-2454.38,-162.08,2025-08-14,recurrence:event_1197,0,971.92,0,0,0,0,817.53,0,154.39,0
request_15,false,1770.05,1200,3685,83.05,0,1283.05,713.25,630.20,-2971.75,569.80,2026-04-04,recurrence:event_1272,1661,2717.80,0,1661,0,0,2717.80,0,0,0
request_16,true,362370,122400,122500,122500,122500,244900,362370,239870,239870,-117470,2023-08-12,,0,0,0,0,0,0,0,0,0,0
request_17,false,550379.58,166100,274600,243849.58,255788.02,409949.58,421888.02,178038.44,147288.02,-11938.44,2026-03-13,recurrence:event_1477,0,128491.56,0,0,0,0,124761.56,0,3730,0
request_18,false,2486,1400,3246.1,462,694.61,1862,2094.61,1632.61,-1151.49,-232.61,2026-07-11,recurrence:event_1575,0,391.39,0,0,0,0,323.39,0,68,0
request_19,false,199545,92800,39660,28820,27825.91,121620,120625.91,91805.91,80965.91,994.09,2024-09-14,recurrence:event_1660|recurrence:event_1661,0,78919.09,0,0,0,0,73092.97,0,5826.12,0
request_20,false,102609.05,64500,303700,5400,15782.57,69900,80282.57,74882.57,-223417.43,-10382.57,2026-02-13,recurrence:event_1739,0,22326.48,0,0,0,4470,15394.33,0,2462.15,0
request_21,false,3911.35,1800,1574.4,1543.35,1574.4,3343.35,3463.99,1920.64,1889.59,-120.64,2026-04-12,recurrence:event_1815|recurrence:event_1817,0,447.36,0,0,0,53,209.98,0,184.38,0
request_22,false,1132.46,500,731.5,475.46,534.12,975.46,1034.12,558.66,302.62,-58.66,2024-12-14,recurrence:event_1891,0,98.34,0,0,0,43,32.34,0,23,0
request_23,false,51957.9,27000,38016,9152,11917.43,36152,38917.43,29765.43,901.43,-2765.43,2025-05-14,recurrence:event_2000|recurrence:event_2001,0,13040.47,0,0,0,1553.2,9910.04,0,1577.23,0
request_24,false,85045,51000,109600,13420,17688.49,64420,68688.49,55268.49,-40911.51,-4268.49,2026-01-13,recurrence:event_2082,0,16356.51,0,0,0,1830,12971.51,0,1555,0
request_25,false,32063050,23379100,60496000,1425000,3363300.00,24804100,26742400.00,25317400.00,-33753600.00,-1938300.00,2024-03-14,recurrence:event_2206,0,5320650.00,0,0,0,0,5320650.00,0,0,0
