request_id,unexplained_reserve,direction,predicted_baseline_minimum,expected_implied_safety_floor,binding_date,binding_source_ids
request_04,-4688436.11,agent_safe_amount_too_high,43776836.11,39088400,2024-06-13,recurrence:event_290
request_11,-3709732.90,agent_safe_amount_too_high,50360977.90,46651245,2025-05-14,recurrence:event_949
request_25,-1938300.00,agent_safe_amount_too_high,26742400.00,24804100,2024-03-14,recurrence:event_2206
request_02,-576923.81,agent_safe_amount_too_high,46964463.01,46387539.20,2025-08-14,recurrence:event_160
request_03,-221847.18,agent_safe_amount_too_high,3763547.18,3541700,2019-09-14,recurrence:event_214|recurrence:event_216
request_10,-31520.79,agent_safe_amount_too_high,269620.79,238100,2025-03-03,recurrence:event_840
request_07,-12136.51,agent_safe_amount_too_high,192307.07,180170.56,2024-09-20,recurrence:event_604
request_17,-11938.44,agent_safe_amount_too_high,421888.02,409949.58,2026-03-13,recurrence:event_1477
request_20,-10382.57,agent_safe_amount_too_high,80282.57,69900,2026-02-13,recurrence:event_1739
request_05,-6562.49,agent_safe_amount_too_high,20399.49,13837,2026-02-02,recurrence:event_398
request_24,-4268.49,agent_safe_amount_too_high,68688.49,64420,2026-01-13,recurrence:event_2082
request_23,-2765.43,agent_safe_amount_too_high,38917.43,36152,2025-05-14,recurrence:event_2000|recurrence:event_2001
request_19,994.09,agent_safe_amount_too_low,120625.91,121620,2024-09-14,recurrence:event_1660|recurrence:event_1661
request_13,-914.73,agent_safe_amount_too_high,2648.13,1733.40,2024-03-14,recurrence:event_1093
request_15,569.80,agent_safe_amount_too_low,713.25,1283.05,2026-04-04,recurrence:event_1272
request_18,-232.61,agent_safe_amount_too_high,2094.61,1862,2026-07-11,recurrence:event_1575
request_14,-162.08,agent_safe_amount_too_high,2959.82,2797.74,2025-08-14,recurrence:event_1197
request_21,-120.64,agent_safe_amount_too_high,3463.99,3343.35,2026-04-12,recurrence:event_1815|recurrence:event_1817
request_08,-82.08,agent_safe_amount_too_high,1166.65,1084.57,2025-02-12,recurrence:event_649
request_06,-77.40,agent_safe_amount_too_high,1480.70,1403.30,2026-01-13,recurrence:event_475|recurrence:event_477
request_22,-58.66,agent_safe_amount_too_high,1034.12,975.46,2024-12-14,recurrence:event_1891
