request_id,requested_amount,capped_case,expected_amount_safe_to_pay,predicted_amount_safe_to_pay,absolute_error,expected_affordability_status,predicted_affordability_status,expected_recommended_payment_method,predicted_recommended_payment_method,expected_payment_plan,predicted_payment_plan,expected_earliest_date,predicted_earliest_date,expected_spending_changes,predicted_spending_changes,exact_structured_match
request_01,25256,true,25256,25256.00,0.00,affordable_now,affordable_now,full_payment,full_payment,2024-03-03:25256,2024-03-03:25256,2024-03-03,2024-03-03,none,none,true
request_02,46018000,false,17229139.2,17806063.01,576923.81,affordable_with_plan,affordable_with_plan,installments,installments,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-08-08:15952906.67|2025-09-07:15952906.67|2025-10-07:15952906.67,2025-09-15,2025-09-15,none,none,false
request_03,5491000,false,873000,1094847.18,221847.18,affordable_later,affordable_later,wait,wait,2019-11-15:5491000,2019-11-15:5491000,2019-11-15,2019-11-15,none,none,false
request_04,12693000,false,8401800,12693000,4291200,affordable_later,affordable_now,wait,full_payment,2024-06-15:12693000,2024-06-04:12693000,2024-06-15,2024-06-04,none,none,false
request_05,15488,false,737,7299.49,6562.49,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_06,620.4,false,603.3,620.40,17.10,affordable_with_plan,affordable_now,full_payment,full_payment,2026-01-03:620.40,2026-01-03:620.4,2026-01-15,2026-01-03,stop:event_476,none,false
request_07,197400,false,87170.56,99307.07,12136.51,affordable_with_plan,affordable_with_plan,installments,installments,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-09-12:68432|2024-10-10:68432|2024-11-07:68432,2024-10-23,2024-10-23,none,none,false
request_08,996.6,false,284.57,366.65,82.08,affordable_later,affordable_later,wait,wait,2025-04-15:996.60,2025-04-15:996.6,2025-04-15,2025-04-15,none,none,false
request_09,166.61,true,166.61,166.61,0,affordable_now,affordable_now,full_payment,full_payment,2026-07-04:166.61,2026-07-04:166.61,2026-07-04,2026-07-04,none,none,true
request_10,266700,false,12700,44220.79,31520.79,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_11,13110000,false,12510645,13110000,599355,affordable_with_plan,affordable_now,full_payment,full_payment,2025-05-03:13110000,2025-05-03:13110000,2025-07-15,2025-05-03,reduce_to:event_989:665950,none,false
request_12,65164,true,65164,65164,0,affordable_with_plan,affordable_with_plan,installments,installments,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-19:22590.19|2026-05-20:22590.19|2026-06-20:22590.19,2026-04-05,2026-04-05,none,none,true
request_13,941.6,false,433.4,941.60,508.20,affordable_later,affordable_now,wait,full_payment,2024-05-15:941.60,2024-03-07:941.6,2024-05-15,2024-03-07,none,none,false
request_14,5414.2,false,597.74,759.82,162.08,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_15,3685,false,83.05,0,83.05,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_16,122500,true,122500,122500,0,affordable_now,affordable_now,full_payment,full_payment,2023-08-12:122500,2023-08-12:122500,2023-08-12,2023-08-12,none,none,true
request_17,274600,false,243849.58,255788.02,11938.44,affordable_with_plan,affordable_with_plan,installments,installments,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-01:95194.67|2026-03-31:95194.67|2026-04-30:95194.67,2026-03-15,2026-03-15,none,none,false
request_18,3246.1,false,462,694.61,232.61,affordable_later,affordable_later,wait,wait,2026-09-15:3246.10,2026-08-15:3246.1,2026-09-15,2026-08-15,none,none,false
request_19,39660,false,28820,27825.91,994.09,affordable_with_plan,affordable_with_plan,partial_payment,partial_payment,2024-09-04:28820|2024-09-15:10840,2024-09-04:27825.91|2024-09-15:11834.09,2024-09-15,2024-09-15,none,none,false
request_20,303700,false,5400,15782.57,10382.57,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_21,1574.4,false,1543.35,1574.4,31.05,affordable_with_plan,affordable_now,full_payment,full_payment,2026-04-03:1574.40,2026-04-03:1574.4,2026-04-15,2026-04-03,stop:event_1815|reduce_to:event_1816:23.50,none,false
request_22,731.5,false,475.46,534.12,58.66,affordable_with_plan,affordable_with_plan,installments,installments,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2024-12-08:253.59|2025-01-05:253.59|2025-02-02:253.59,2025-01-15,2024-12-15,none,none,false
request_23,38016,false,9152,11917.43,2765.43,affordable_later,affordable_later,wait,wait,2025-07-15:38016,2025-07-15:38016,2025-07-15,2025-07-15,none,none,false
request_24,109600,false,13420,17688.49,4268.49,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,,none,none,false
request_25,60496000,false,1425000,3363300,1938300,not_affordable,not_affordable,not_recommended,not_recommended,none,none,,2024-05-15,none,none,false
