request_id,event_id,event_date,settlement_date,amount,direction,status,cash_treatment,included_in_forecast,reason
request_01,event_33,2023-09-08,2023-09-08,925.62,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_59,2023-09-09,2023-09-09,399.02,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_85,2023-09-10,2023-09-10,1213.78,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_34,2023-09-15,2023-09-15,939.13,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_60,2023-09-16,2023-09-16,549.8,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_35,2023-09-22,2023-09-22,707.36,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_61,2023-09-23,2023-09-23,468.47,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_86,2023-09-24,2023-09-24,1243.56,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_36,2023-09-29,2023-09-29,629.96,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_62,2023-09-30,2023-09-30,428.92,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_01,2023-10-02,2023-10-02,5148,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_02,2023-10-06,2023-10-06,1475.46,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_37,2023-10-06,2023-10-06,873.17,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_63,2023-10-07,2023-10-07,373.05,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_03,2023-10-08,2023-10-08,1821.6,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_87,2023-10-08,2023-10-08,1128.35,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_04,2023-10-11,2023-10-11,3487,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_05,2023-10-11,2023-10-11,235.4,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_06,2023-10-13,2023-10-13,306.9,debit,settled,settled_cash,yes (recurrence source),historical/evidence source used to project recurring stream
request_01,event_38,2023-10-13,2023-10-13,915.12,debit,settled,settled_cash,no,outside request 90-day window
request_01,event_64,2023-10-14,2023-10-14,503.02,debit,settled,settled_cash,no,outside request 90-day window
