request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000.00,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Requested: IDR 15656000. Safe to pay today: IDR 15656000.00. Current available balance: IDR 100845250; required minimum balance: IDR 24768300. Recommendation: full_payment. Payment plan: 2025-08-03:15656000. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: IDR 10374000.
request_27,6670.00,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Requested: ZAR 6670. Safe to pay today: ZAR 6670.00. Current available balance: ZAR 93141.8; required minimum balance: ZAR 20500. Recommendation: full_payment. Payment plan: 2026-07-05:6670. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: ZAR 8360.
request_28,429.49,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Requested: EUR 1302.4. Safe to pay today: EUR 429.49. Current available balance: EUR 1789.4; required minimum balance: EUR 1100. Recommendation: wait. Payment plan: 2024-07-15:1302.4. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: EUR 358.6.
request_29,24100.91,not_affordable,not_recommended,none,,none,Requested: ZAR 51524. Safe to pay today: ZAR 24100.91. Current available balance: ZAR 113540.1; required minimum balance: ZAR 28300. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-11-23 while preserving the 90-day minimum-balance requirement. Included recurring education expense: ZAR 5170.
request_30,775.20,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Requested: USD 775.2. Safe to pay today: USD 775.20. Current available balance: USD 3752.72; required minimum balance: USD 900. Recommendation: installments. Payment plan: 2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Included recurring rent expense: USD 396.
request_31,5044836.01,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Requested: IDR 18164000. Safe to pay today: IDR 5044836.01. Current available balance: IDR 30429260; required minimum balance: IDR 16588900. Recommendation: wait. Payment plan: 2024-09-15:18164000. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: IDR 19972800 on 2024-09-15. Included recurring rent expense: IDR 6080000.
request_32,19701.26,affordable_later,wait,2025-02-15:40018,2025-02-15,none,Requested: ZAR 40018. Safe to pay today: ZAR 19701.26. Current available balance: ZAR 69005.8; required minimum balance: ZAR 35700. Recommendation: wait. Payment plan: 2025-02-15:40018. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: ZAR 54120 on 2025-02-15. Included recurring rent expense: ZAR 15664.
request_33,41098.41,affordable_later,wait,2026-02-15:118000,2026-02-15,none,Requested: INR 118000. Safe to pay today: INR 41098.41. Current available balance: INR 167280; required minimum balance: INR 102100. Recommendation: wait. Payment plan: 2026-02-15:118000. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: INR 41900.
request_34,129400.00,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Requested: INR 129400. Safe to pay today: INR 129400.00. Current available balance: INR 559752.5; required minimum balance: INR 138500. Recommendation: full_payment. Payment plan: 2024-12-04:129400. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 51200.
request_35,46524.20,affordable_later,wait,2026-01-15:212000,2026-01-15,none,Requested: INR 212000. Safe to pay today: INR 46524.20. Current available balance: INR 231530; required minimum balance: INR 106400. Recommendation: wait. Payment plan: 2026-01-15:212000. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: INR 37000.
request_36,779.94,affordable_later,wait,2026-08-15:3954,2026-08-15,none,Requested: USD 3954. Safe to pay today: USD 779.94. Current available balance: USD 3846.6; required minimum balance: USD 2400. Recommendation: wait. Payment plan: 2026-08-15:3954. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: USD 2988 on 2026-07-15. Included recurring housing expense: USD 260.
request_37,5184895.80,affordable_later,wait,2024-05-15:14649000,2024-05-15,none,Requested: IDR 14649000. Safe to pay today: IDR 5184895.80. Current available balance: IDR 29125000; required minimum balance: IDR 17056200. Recommendation: wait. Payment plan: 2024-05-15:14649000. The selected full payment becomes safe later within the forecast horizon. Included recurring rent expense: IDR 6802000.
request_38,225.42,affordable_later,wait,2025-09-15:971.3,2025-09-15,none,Requested: EUR 971.3. Safe to pay today: EUR 225.42. Current available balance: EUR 779.4; required minimum balance: EUR 400. Recommendation: wait. Payment plan: 2025-09-15:971.3. The selected full payment becomes safe later within the forecast horizon. Included recurring housing expense: EUR 68.
request_39,77576.83,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Requested: INR 208600. Safe to pay today: INR 77576.83. Current available balance: INR 416505; required minimum balance: INR 213400. Recommendation: wait. Payment plan: 2026-04-15:208600. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: INR 253989.84 on 2026-04-15. Included recurring rent expense: INR 78000.
request_40,0,not_affordable,not_recommended,none,,none,Requested: EUR 1290.3. Safe to pay today: EUR 0. Current available balance: EUR 2394; required minimum balance: EUR 1500. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2024-08-15 while preserving the 90-day minimum-balance requirement. Included confirmed salary: EUR 1760 on 2024-06-15. Included recurring rent expense: EUR 581.9.
request_41,10387624.40,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Requested: IDR 38760000. Safe to pay today: IDR 10387624.40. Current available balance: IDR 50175850; required minimum balance: IDR 25366600. Recommendation: wait. Payment plan: 2025-11-15:38760000. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: IDR 42559991.04 on 2025-11-15. Included recurring rent expense: IDR 9481000.
request_42,52100.00,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,Requested: INR 52100. Safe to pay today: INR 52100.00. Current available balance: INR 261765; required minimum balance: INR 113100. Recommendation: full_payment. Payment plan: 2026-01-05:52100. The selected full payment is safe on the request date under the deterministic 90-day forecast. Included recurring rent expense: INR 40200.
request_43,8443757.75,affordable_later,wait,2024-09-15:43339000,2024-09-15,none,Requested: IDR 43339000. Safe to pay today: IDR 8443757.75. Current available balance: IDR 36640750; required minimum balance: IDR 21398000. Recommendation: wait. Payment plan: 2024-09-15:43339000. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: IDR 32870000 on 2024-09-15. Included recurring rent expense: IDR 8911000.
request_44,0,not_affordable,not_recommended,none,,none,Requested: INR 95800. Safe to pay today: INR 0. Current available balance: INR 162290; required minimum balance: INR 82900. Recommendation: not_recommended. No safe eligible supplied payment plan completes the request by 2025-04-15 while preserving the 90-day minimum-balance requirement. Included confirmed salary: INR 115000 on 2025-02-15. Included recurring rent expense: INR 30200.
request_45,5270814.54,affordable_later,wait,2026-07-15:21983000,2026-07-15,none,Requested: IDR 21983000. Safe to pay today: IDR 5270814.54. Current available balance: IDR 19982900; required minimum balance: IDR 11149800. Recommendation: wait. Payment plan: 2026-07-15:21983000. The selected full payment becomes safe later within the forecast horizon. Included confirmed salary: IDR 17290000 on 2026-07-15. Included recurring housing expense: IDR 1805000.
request_46,48719.25,affordable_with_plan,partial_payment,2024-12-03:48719.25|2024-12-15:730.75,2024-12-15,none,Requested: INR 49450. Safe to pay today: INR 48719.25. Current available balance: INR 202335; required minimum balance: INR 84000. Recommendation: partial_payment. Payment plan: 2024-12-03:48719.25|2024-12-15:730.75. The selected plan completes the request by its deadline while preserving the 90-day minimum-balance requirement. Earliest safe full-payment date: 2024-12-15. Included confirmed salary: INR 145000 on 2024-12-15. Included recurring rent expense: INR 33800.
